日期,时段序号,开始时刻,结束时刻,时间区间,时长_h,区间平均电价,预测负载功率,预测光伏功率,预测净负荷功率
2025-07-20,2,00:10,00:20,00:10—00:20,0.166667,0.424650,4635.036133,0.000000,4635.036133
2025-07-20,3,00:20,00:30,00:20—00:30,0.166667,0.425700,4596.207275,0.000000,4596.207275
2025-07-20,4,00:30,00:40,00:30—00:40,0.166667,0.427050,4601.570557,0.000000,4601.570557
2025-07-20,5,00:40,00:50,00:40—00:50,0.166667,0.427150,4622.078369,0.000000,4622.078369
2025-07-20,6,00:50,01:00,00:50—01:00,0.166667,0.427800,4559.284424,0.000000,4559.284424
2025-07-20,7,01:00,01:10,01:00—01:10,0.166667,0.429800,4530.646484,0.000000,4530.646484
2025-07-20,8,01:10,01:20,01:10—01:20,0.166667,0.430650,4531.101318,0.000000,4531.101318
2025-07-20,9,01:20,01:30,01:20—01:30,0.166667,0.429050,4495.305176,0.000000,4495.305176
2025-07-20,10,01:30,01:40,01:30—01:40,0.166667,0.429550,4411.906982,0.000000,4411.906982
2025-07-20,11,01:40,01:50,01:40—01:50,0.166667,0.432250,4380.064453,0.000000,4380.064453
2025-07-20,12,01:50,02:00,01:50—02:00,0.166667,0.432200,4453.496826,0.000000,4453.496826
2025-07-20,13,02:00,02:10,02:00—02:10,0.166667,0.430200,4469.056885,0.000000,4469.056885
2025-07-20,14,02:10,02:20,02:10—02:20,0.166667,0.430850,4374.040771,0.000000,4374.040771
2025-07-20,15,02:20,02:30,02:20—02:30,0.166667,0.434550,4291.988281,0.000000,4291.988281
2025-07-20,16,02:30,02:40,02:30—02:40,0.166667,0.435750,4334.405029,0.000000,4334.405029
2025-07-20,17,02:40,02:50,02:40—02:50,0.166667,0.434150,4371.453369,0.000000,4371.453369
2025-07-20,18,02:50,03:00,02:50—03:00,0.166667,0.434600,4290.606445,0.000000,4290.606445
2025-07-20,19,03:00,03:10,03:00—03:10,0.166667,0.436550,4171.304932,0.000156,4171.304775
2025-07-20,20,03:10,03:20,03:10—03:20,0.166667,0.437250,4112.855713,0.000156,4112.855556
2025-07-20,21,03:20,03:30,03:20—03:30,0.166667,0.436350,4205.136963,0.000000,4205.136963
2025-07-20,22,03:30,03:40,03:30—03:40,0.166667,0.435450,4256.818604,0.006372,4256.812232
2025-07-20,23,03:40,03:50,03:40—03:50,0.166667,0.435650,4248.663818,0.006372,4248.657447
2025-07-20,24,03:50,04:00,03:50—04:00,0.166667,0.436900,4292.703125,0.000000,4292.703125
2025-07-20,25,04:00,04:10,04:00—04:10,0.166667,0.438950,4291.528076,0.088815,4291.439261
2025-07-20,26,04:10,04:20,04:10—04:20,0.166667,0.439500,4196.646729,0.088815,4196.557913
2025-07-20,27,04:20,04:30,04:20—04:30,0.166667,0.437650,4120.771973,0.000000,4120.771973
2025-07-20,28,04:30,04:40,04:30—04:40,0.166667,0.437850,4172.745850,1.237105,4171.508744
2025-07-20,29,04:40,04:50,04:40—04:50,0.166667,0.440750,4206.842285,1.237105,4205.605180
2025-07-20,30,04:50,05:00,04:50—05:00,0.166667,0.440850,4127.171631,0.000000,4127.171631
2025-07-20,31,05:00,05:10,05:00—05:10,0.166667,0.436400,4096.413086,39.550422,4056.862664
2025-07-20,32,05:10,05:20,05:10—05:20,0.166667,0.438600,4117.494629,160.646183,3956.848446
2025-07-20,33,05:20,05:30,05:20—05:30,0.166667,0.437000,4075.723633,348.085245,3727.638387
2025-07-20,34,05:30,05:40,05:30—05:40,0.166667,0.400700,3934.978149,558.748668,3376.229481
2025-07-20,35,05:40,05:50,05:40—05:50,0.166667,0.471050,4097.521118,778.154452,3319.366666
2025-07-20,36,05:50,06:00,05:50—06:00,0.166667,0.740350,4784.250244,1019.453753,3764.796492
2025-07-20,37,06:00,06:10,06:00—06:10,0.166667,0.923350,5267.025146,1273.979794,3993.045352
2025-07-20,38,06:10,06:20,06:10—06:20,0.166667,0.906300,5194.280029,1539.982178,3654.297852
2025-07-20,39,06:20,06:30,06:20—06:30,0.166667,0.875850,4945.686035,1825.379350,3120.306685
2025-07-20,40,06:30,06:40,06:30—06:40,0.166667,0.868000,4846.826904,2114.531639,2732.295266
2025-07-20,41,06:40,06:50,06:40—06:50,0.166667,0.852150,5026.991455,2387.732994,2639.258461
2025-07-20,42,06:50,07:00,06:50—07:00,0.166667,0.838800,5200.678223,2657.485165,2543.193058
