规划日期,目标日期,24:00基础模型,边界预测方法,预测_当日24:00,实际_当日24:00,预测_次日00:10,实际_次日00:10,预测_最后区间平均负载,实际_最后区间平均负载
2025-12-19,2025-12-20,Baseline,XGBoost跨日边界,2687.78,2566.67,2532.47607421875,2686.8269,2610.1280371093753,2626.74845
2025-12-19,2025-12-20,Baseline,历史跨日比例,2687.78,2566.67,2697.5432235692065,2686.8269,2692.6616117846033,2626.74845
2025-12-19,2025-12-20,Baseline,目标时刻上周同期,2687.78,2566.67,2699.8904,2686.8269,2693.8352000000004,2626.74845
2025-12-20,2025-12-21,Baseline,XGBoost跨日边界,3530.51,3373.27,3299.39697265625,3576.1063,3414.953486328125,3474.68815
2025-12-20,2025-12-21,Baseline,历史跨日比例,3530.51,3373.27,3550.0232816645957,3576.1063,3540.266640832298,3474.68815
2025-12-20,2025-12-21,Baseline,目标时刻上周同期,3530.51,3373.27,3556.1474,3576.1063,3543.3287,3474.68815
2025-12-21,2025-12-22,Baseline,XGBoost跨日边界,3657.78,3464.4,3475.63427734375,3745.3962,3566.7071386718753,3604.8981000000003
2025-12-21,2025-12-22,Baseline,历史跨日比例,3657.78,3464.4,3677.9967084662344,3745.3962,3667.8883542331173,3604.8981000000003
2025-12-21,2025-12-22,Baseline,目标时刻上周同期,3657.78,3464.4,3435.7699,3745.3962,3546.77495,3604.8981000000003
2025-12-22,2025-12-23,Baseline,XGBoost跨日边界,3375.46,3548.01,3498.51611328125,3450.6501,3436.988056640625,3499.33005
2025-12-22,2025-12-23,Baseline,历史跨日比例,3375.46,3548.01,3394.116313599898,3450.6501,3384.7881567999493,3499.33005
2025-12-22,2025-12-23,Baseline,目标时刻上周同期,3375.46,3548.01,3434.511,3450.6501,3404.9855,3499.33005
2025-12-23,2025-12-24,Baseline,XGBoost跨日边界,3615.65,3579.47,3431.352294921875,3784.6124,3523.5011474609373,3682.0411999999997
2025-12-23,2025-12-24,Baseline,历史跨日比例,3615.65,3579.47,3635.633854131725,3784.6124,3625.6419270658625,3682.0411999999997
